,time,temperature,Na2SO4,Na2CO3,target
508,57.0,60.0,50.0,15,0.9309999999999999
509,57.0,60.0,50.0,20,0.938
510,60.0,60.0,50.0,0,0.684
511,60.0,60.0,50.0,5,0.903
512,60.0,60.0,50.0,10,0.925
513,60.0,60.0,50.0,15,0.938
514,60.0,60.0,50.0,20,0.943
515,63.0,60.0,50.0,0,0.684
516,63.0,60.0,50.0,5,0.912
517,63.0,60.0,50.0,10,0.9309999999999999
518,63.0,60.0,50.0,15,0.9420000000000001
519,63.0,60.0,50.0,20,0.946
520,66.0,60.0,50.0,0,0.684
521,66.0,60.0,50.0,5,0.919
522,66.0,60.0,50.0,10,0.935
523,66.0,60.0,50.0,15,0.9440000000000001
524,66.0,60.0,50.0,20,0.948
525,69.0,60.0,50.0,0,0.684
526,69.0,60.0,50.0,5,0.925
527,69.0,60.0,50.0,10,0.938
528,69.0,60.0,50.0,15,0.946
529,69.0,60.0,50.0,20,0.95
530,72.0,60.0,50.0,0,0.684
531,72.0,60.0,50.0,5,0.929
532,72.0,60.0,50.0,10,0.9390000000000001
533,72.0,60.0,50.0,15,0.948
534,72.0,60.0,50.0,20,0.951
535,75.0,60.0,50.0,0,0.684
536,75.0,60.0,50.0,5,0.932
537,75.0,60.0,50.0,10,0.941
538,75.0,60.0,50.0,15,0.9490000000000001
539,75.0,60.0,50.0,20,0.951
540,78.0,60.0,50.0,0,0.684
541,78.0,60.0,50.0,5,0.934
542,78.0,60.0,50.0,10,0.9420000000000001
543,78.0,60.0,50.0,15,0.95
544,78.0,60.0,50.0,20,0.9520000000000001
545,81.0,60.0,50.0,0,0.684
546,81.0,60.0,50.0,5,0.9359999999999999
547,81.0,60.0,50.0,10,0.943
548,81.0,60.0,50.0,15,0.95
549,81.0,60.0,50.0,20,0.953
550,84.0,60.0,50.0,0,0.684
551,84.0,60.0,50.0,5,0.938
552,84.0,60.0,50.0,10,0.9440000000000001
553,84.0,60.0,50.0,15,0.951
554,84.0,60.0,50.0,20,0.953
555,87.0,60.0,50.0,0,0.684
556,87.0,60.0,50.0,5,0.9390000000000001
557,87.0,60.0,50.0,10,0.945
558,87.0,60.0,50.0,15,0.951
559,87.0,60.0,50.0,20,0.9540000000000001
560,90.0,60.0,50.0,0,0.684
561,90.0,60.0,50.0,5,0.94
562,90.0,60.0,50.0,10,0.946
563,90.0,60.0,50.0,15,0.9520000000000001
564,90.0,60.0,50.0,20,0.9540000000000001
565,93.0,60.0,50.0,0,0.684
566,93.0,60.0,50.0,5,0.941
567,93.0,60.0,50.0,10,0.946
568,93.0,60.0,50.0,15,0.9520000000000001
569,93.0,60.0,50.0,20,0.955
570,96.0,60.0,50.0,0,0.684
571,96.0,60.0,50.0,5,0.9420000000000001
572,96.0,60.0,50.0,10,0.9470000000000001
573,96.0,60.0,50.0,15,0.9520000000000001
574,96.0,60.0,50.0,20,0.955
575,99.0,60.0,50.0,0,0.684
576,99.0,60.0,50.0,5,0.9420000000000001
577,99.0,60.0,50.0,10,0.9470000000000001
578,99.0,60.0,50.0,15,0.953
579,99.0,60.0,50.0,20,0.955
580,102.0,60.0,50.0,0,0.684
581,102.0,60.0,50.0,5,0.943
582,102.0,60.0,50.0,10,0.948
583,102.0,60.0,50.0,15,0.953
584,102.0,60.0,50.0,20,0.955
585,105.0,60.0,50.0,0,0.684
586,105.0,60.0,50.0,5,0.943
587,105.0,60.0,50.0,10,0.948
588,105.0,60.0,50.0,15,0.953
589,105.0,60.0,50.0,20,0.956
590,108.0,60.0,50.0,0,0.684
591,108.0,60.0,50.0,5,0.9440000000000001
592,108.0,60.0,50.0,10,0.948
593,108.0,60.0,50.0,15,0.953
594,108.0,60.0,50.0,20,0.956
595,111.0,60.0,50.0,0,0.684
596,111.0,60.0,50.0,5,0.9440000000000001
597,111.0,60.0,50.0,10,0.9490000000000001
598,111.0,60.0,50.0,15,0.9540000000000001
599,111.0,60.0,50.0,20,0.9570000000000001
600,114.0,60.0,50.0,0,0.684
601,114.0,60.0,50.0,5,0.9440000000000001
602,114.0,60.0,50.0,10,0.9490000000000001
603,114.0,60.0,50.0,15,0.9540000000000001
604,114.0,60.0,50.0,20,0.9570000000000001
605,117.0,60.0,50.0,0,0.684
606,117.0,60.0,50.0,5,0.945
607,117.0,60.0,50.0,10,0.9490000000000001
608,117.0,60.0,50.0,15,0.9540000000000001
609,117.0,60.0,50.0,20,0.9570000000000001
610,120.0,60.0,50.0,0,0.684
611,120.0,60.0,50.0,5,0.945
612,120.0,60.0,50.0,10,0.9490000000000001
613,120.0,60.0,50.0,15,0.9540000000000001
614,120.0,60.0,50.0,20,0.9570000000000001
